wallet_id,score,explanation,liquidation_count,repayment_ratio,current_utilization,activity_frequency,asset_diversity
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,750,Excellent repayment history; Active user; Well-diversified portfolio,0,2.846,0.0,3.41,5
0x06b51c6882b27cb05e712185531c1f74996dd988,725,Excellent repayment history; Active user; Well-diversified portfolio,0,1.311,0.342,3.33,4
0x0795732aacc448030ef374374eaae57d2965c16c,550,Poor repayment history; Active user; Well-diversified portfolio,0,0.02,0.0,3.38,4
0x0aaa79f1a86bc8136cd0d1ca0d51964f4e3766f9,725,Excellent repayment history; Active user; Well-diversified portfolio,0,25.694,0.064,3.28,5
0x0fe383e5abc200055a7f391f94a5f5d1f844b9ae,200,Liquidated 1 time(s); High current utilization; Active user; Well-diversified portfolio,1,0.9,4.683,3.31,5
0x104ae61d8d487ad689969a17807ddc338b445416,675,Excellent repayment history; Well-diversified portfolio,0,9.226,0.074,1.91,4
0x111c7208a7e2af345d36b6d4aace8740d61a3078,550,Poor repayment history; Active user; Well-diversified portfolio,0,0.46,0.032,4.08,4
0x124853fecb522c57d9bd5c21231058696ca6d596,525,Poor repayment history; Active user; Well-diversified portfolio,0,0.098,0.334,2.46,4
0x13b1c8b0e696aff8b4fee742119b549b605f3cbc,600,Excellent repayment history; High current utilization; Active user; Well-diversified portfolio,0,18.045,12.057,2.62,5
0x1656f1886c5ab634ac19568cd571bc72f385fdf7,725,Excellent repayment history; Active user; Well-diversified portfolio,0,1.005,0.07,2.22,4
0x1724e16cb8d0e2aa4d08035bc6b5c56b680a3b22,525,Poor repayment history; Active user; Well-diversified portfolio,0,0.0,0.0,2.46,4
0x19df3e87f73c4aaf4809295561465b993e102668,750,Excellent repayment history; Active user; Well-diversified portfolio,0,2.188,0.015,2.4,5
0x1ab2ccad4fc97c9968ea87d4435326715be32872,600,Excellent repayment history; High current utilization; Active user; Well-diversified portfolio,0,10.978,2.249,2.42,3
0x1c1b30ca93ef57452d53885d97a74f61daf2bf4f,375,Poor repayment history; High current utilization; Active user; Well-diversified portfolio,0,0.122,3.361,3.7,4
0x1e43dacdcf863676a6bec8f7d6896d6252fac669,625,Active user; Well-diversified portfolio,0,0.604,0.0,2.77,4
0x22d7510588d90ed5a87e0f838391aaafa707c34b,175,Liquidated 2 time(s); Excellent repayment history; High current utilization; Active user; Well-diversified portfolio,2,0.928,22.583,3.24,5
0x24b3460622d835c56d9a4fe352966b9bdc6c20af,0,Liquidated 3 time(s); Poor repayment history; Active user; Well-diversified portfolio,3,0.188,0.007,2.97,5
0x26750f1f4277221bdb5f6991473c6ece8c821f9d,750,Excellent repayment history; Active user; Well-diversified portfolio,0,1.279,0.171,2.54,4
0x27f72a000d8e9f324583f3a3491ea66998275b28,550,Poor repayment history; Active user; Well-diversified portfolio,0,0.05,0.0,3.61,5
0x2844658bf341db96aa247259824f42025e3bcec2,475,Poor repayment history; Active user; Well-diversified portfolio,0,0.445,0.747,3.75,4
